time,center_ci,center_cs,center_cv,center_xi,center_xv
2.07e-06,2.067360383903e-08,1,2.0677885976781e-08,0.05657923858397,0.056590957880486
2.08e-06,2.0773240654171e-08,1,2.0777564238465e-08,0.056851923268241,0.056863755995096
2.09e-06,2.0872874168595e-08,1,2.0877239398701e-08,0.057124598919155,0.057136545621704
2.1e-06,2.0972504367532e-08,1,2.0976911442713e-08,0.057397265496289,0.057409326719871
2.11e-06,2.1072131236214e-08,1,2.1076580355726e-08,0.057669922959228,0.057682099249163
2.12e-06,2.1171754759875e-08,1,2.1176246122966e-08,0.057942571267559,0.057954863169148
2.13e-06,2.1271374923752e-08,1,2.1275908729664e-08,0.058215210380876,0.058227618439404
2.14e-06,2.1370991713081e-08,1,2.1375568161051e-08,0.058487840258779,0.058500365019509
2.15e-06,2.1470605113104e-08,1,2.1475224402359e-08,0.058760460860871,0.058773102869052
2.16e-06,2.1570215109061e-08,1,2.1574877438823e-08,0.059033072146764,0.059045831947622
2.17e-06,2.1669821686196e-08,1,2.1674527255681e-08,0.059305674076073,0.059318552214817
2.18e-06,2.1769424829756e-08,1,2.1774173838172e-08,0.059578266608417,0.059591263630239
2.19e-06,2.1869024524987e-08,1,2.1873817171536e-08,0.059850849703425,0.059863966153496
2.2e-06,2.1968620757141e-08,1,2.1973457241017e-08,0.060123423320727,0.0601366597442
2.21e-06,2.2068213511468e-08,1,2.2073094031858e-08,0.060395987419961,0.060409344361969
2.22e-06,2.2167802773222e-08,1,2.2172727529308e-08,0.06066854196077,0.060682019966428
2.23e-06,2.226738852766e-08,1,2.2272357718614e-08,0.060941086902802,0.060954686517206
2.24e-06,2.236697076004e-08,1,2.2371984585029e-08,0.061213622205712,0.061227343973938
2.25e-06,2.246654945562e-08,1,2.2471608113804e-08,0.06148614782916,0.061499992296265
2.26e-06,2.2566124599664e-08,1,2.2571228290195e-08,0.061758663732809,0.061772631443831
2.27e-06,2.2665696177435e-08,1,2.2670845099458e-08,0.062031169876333,0.062045261376289
2.28e-06,2.27652641742e-08,1,2.2770458526854e-08,0.062303666219407,0.062317882053296
2.29e-06,2.2864828575227e-08,1,2.2870068557642e-08,0.062576152721714,0.062590493434515
2.3e-06,2.2964389365787e-08,1,2.2969675177086e-08,0.062848629342941,0.062863095479614
2.31e-06,2.3063946531151e-08,1,2.3069278370452e-08,0.063121096042784,0.063135688148267
2.32e-06,2.3163500056594e-08,1,2.3168878123006e-08,0.063393552780941,0.063408271400154
2.33e-06,2.3263049927393e-08,1,2.3268474420019e-08,0.063665999517119,0.063680845194961
2.34e-06,2.3362596128828e-08,1,2.3368067246761e-08,0.063938436211028,0.063953409492379
2.35e-06,2.3462138646178e-08,1,2.3467656588506e-08,0.064210862822386,0.064225964252106
2.36e-06,2.3561677464728e-08,1,2.356724243053e-08,0.064483279310915,0.064498509433843
2.37e-06,2.3661212569762e-08,1,2.3666824758111e-08,0.064755685636346,0.0647710449973
2.38e-06,2.3760743946568e-08,1,2.3766403556529e-08,0.065028081758412,0.065043570902191
2.39e-06,2.3860271580435e-08,1,2.3865978811066e-08,0.065300467636855,0.065316087108237
2.4e-06,2.3959795456656e-08,1,2.3965550507007e-08,0.065572843231422,0.065588593575164
2.41e-06,2.4059315560524e-08,1,2.4065118629637e-08,0.065845208501865,0.065861090262705
2.42e-06,2.4158831877335e-08,1,2.4164683164246e-08,0.066117563407943,0.066133577130596
2.43e-06,2.4258344392389e-08,1,2.4264244096124e-08,0.066389907909422,0.066406054138584
2.44e-06,2.4357853090985e-08,1,2.4363801410565e-08,0.066662241966072,0.066678521246418
2.45e-06,2.4457357958427e-08,1,2.4463355092863e-08,0.06693456553767,0.066950978413853
2.46e-06,2.4556858980019e-08,1,2.4562905128316e-08,0.067206878584,0.067223425600653
2.47e-06,2.4656356141069e-08,1,2.4662451502224e-08,0.06747918106485,0.067495862766585
2.48e-06,2.4755849426887e-08,1,2.4761994199889e-08,0.067751472940017,0.067768289871424
2.49e-06,2.4855338822784e-08,1,2.4861533206614e-08,0.068023754169302,0.06804070687495
2.5e-06,2.4954824314075e-08,1,2.4961068507706e-08,0.068296024712513,0.06831311373695
2.51e-06,2.5054305886076e-08,1,2.5060600088474e-08,0.068568284529464,0.068585510417216
2.52e-06,2.5153783524105e-08,1,2.5160127934228e-08,0.068840533579976,0.068857896875548
2.53e-06,2.5253257213484e-08,1,2.5259652030281e-08,0.069112771823875,0.069130273071751
2.54e-06,2.5352726939536e-08,1,2.535917236195e-08,0.069384999220994,0.069402638965635
2.55e-06,2.5452192687586e-08,1,2.5458688914551e-08,0.069657215731173,0.069674994517019
2.56e-06,2.5551654442963e-08,1,2.5558201673405e-08,0.069929421314257,0.069947339685726
2.57e-06,2.5651112190997e-08,1,2.5657710623833e-08,0.070201615930098,0.070219674431587
2.58e-06,2.575056591702e-08,1,2.5757215751161e-08,0.070473799538555,0.070491998714437
2.59e-06,2.5850015606367e-08,1,2.5856717040715e-08,0.070745972099492,0.070764312494121
2.6e-06,2.5949461244376e-08,1,2.5956214477824e-08,0.071018133572781,0.071036615730486
2.61e-06,2.6048902816386e-08,1,2.605570804782e-08,0.0712902839183,0.071308908383389
2.62e-06,2.6148340307739e-08,1,2.6155197736037e-08,0.071562423095933,0.071581190412692
2.63e-06,2.6247773703779e-08,1,2.6254683527812e-08,0.071834551065571,0.071853461778262
2.64e-06,2.6347202989855e-08,1,2.6354165408482e-08,0.07210666778711,0.072125722439975
2.65e-06,2.6446628151314e-08,1,2.6453643363388e-08,0.072378773220456,0.072397972357712
2.66e-06,2.6546049173508e-08,1,2.6553117377875e-08,0.072650867325518,0.072670211491361
2.67e-06,2.6645466041791e-08,1,2.6652587437287e-08,0.072922950062213,0.072942439800817
2.68e-06,2.674487874152e-08,1,2.6752053526974e-08,0.073195021390466,0.07321465724598
2.69e-06,2.6844287258054e-08,1,2.6851515632284e-08,0.073467081270206,0.073486863786758
2.7e-06,2.6943691576754e-08,1,2.6950973738572e-08,0.073739129661371,0.073759059383065
2.71e-06,2.7043091682983e-08,1,2.7050427831193e-08,0.074011166523905,0.074031243994822
2.72e-06,2.7142487562109e-08,1,2.7149877895504e-08,0.074283191817757,0.074303417581955
2.73e-06,2.7241879199499e-08,1,2.7249323916866e-08,0.074555205502886,0.0745755801044
2.74e-06,2.7341266580525e-08,1,2.7348765880641e-08,0.074827207539255,0.074847731522098
2.75e-06,2.744064969056e-08,1,2.7448203772195e-08,0.075099197886834,0.075119871794994
2.76e-06,2.7540028514981e-08,1,2.7547637576895e-08,0.075371176505603,0.075392000883044
