x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
596,433,0,596,1,6.347003856543e-05,4.7337922196683e-05,4.3431131752267e-16,1.6537699267962e-09,296.70555281602,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-8.0757436057808e-51
596.2,433,0,596.2,1,6.3470036650309e-05,4.7337024530922e-05,9.9748010004882e-15,4.4893771417537e-09,296.8043852407,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-7.6729515328288e-51
596.4,433,0,596.4,1,6.3470034735188e-05,4.733612686516e-05,9.9748010004882e-15,4.4893771417537e-09,296.90321766539,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-7.2701594598771e-51
596.6,433,0,596.6,1,6.3470032820067e-05,4.7335229199398e-05,9.9748010004882e-15,4.4893771417537e-09,297.00205009007,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-6.8673673869252e-51
596.8,433,0,596.8,1,6.3470030904946e-05,4.7334331533637e-05,9.9748010004882e-15,4.4893771417537e-09,297.10088251476,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-6.4645753139732e-51
597,433,0,597,1,6.3470028989825e-05,4.7333433867875e-05,9.9748010004882e-15,4.4893771417537e-09,297.19971493945,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-6.0617832410215e-51
597.2,433,0,597.2,1,6.3470027074704e-05,4.7332536202113e-05,9.9748010004882e-15,4.4893771417537e-09,297.29854736413,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-5.6589911680695e-51
597.4,433,0,597.4,1,6.3470025159583e-05,4.7331638536352e-05,9.9748010004882e-15,4.4893771417537e-09,297.39737978882,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-5.2561990951178e-51
597.6,433,0,597.6,1,6.3470023244462e-05,4.733074087059e-05,9.9748010004882e-15,4.4893771417537e-09,297.49621221351,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-4.8534070221658e-51
597.8,433,0,597.8,1,6.3470021329341e-05,4.7329843204828e-05,9.9748010004882e-15,4.4893771417537e-09,297.59504463819,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-4.4506149492139e-51
598,433,0,598,1,6.347001941422e-05,4.7328945539067e-05,9.9748010004882e-15,4.4893771417537e-09,297.69387706288,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-4.0478228762622e-51
598.2,433,0,598.2,1,6.3470017499099e-05,4.7328047873305e-05,9.9748010004882e-15,4.4893771417537e-09,297.79270948757,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-3.6450308033102e-51
598.4,433,0,598.4,1,6.3470015583978e-05,4.7327150207543e-05,9.9748010004882e-15,4.4893771417537e-09,297.89154191225,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-3.2422387303585e-51
598.6,433,0,598.6,1,6.3470013668857e-05,4.7326252541782e-05,9.9748010004882e-15,4.4893771417537e-09,297.99037433694,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-2.8394466574065e-51
598.8,433,0,598.8,1,6.3470011753736e-05,4.732535487602e-05,9.9748010004882e-15,4.4893771417537e-09,298.08920676163,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-2.4366545844546e-51
599,433,0,599,1,6.3470009838615e-05,4.7324457210258e-05,9.9748010004882e-15,4.4893771417537e-09,298.18803918631,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-2.0338625115028e-51
599.2,433,0,599.2,1,6.3470007923494e-05,4.7323559544497e-05,9.9748010004882e-15,4.4893771417537e-09,298.286871611,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-1.6310704385509e-51
599.4,433,0,599.4,1,6.3470006008373e-05,4.7322661878735e-05,9.9748010004882e-15,4.4893771417537e-09,298.38570403568,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-1.2282783655992e-51
599.6,433,0,599.6,1,6.3470004093252e-05,4.7321764212973e-05,9.9748010004882e-15,4.4893771417537e-09,298.48453646037,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-8.254862926472e-52
599.8,433,0,599.8,1,6.347000217813e-05,4.7320866547212e-05,9.9748010004882e-15,4.4893771417537e-09,298.58336888506,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-4.2269421969525e-52
600,433,0,600,1,6.3470000263009e-05,4.731996888145e-05,9.9748010004882e-15,4.4893771417537e-09,298.68220130974,-0.49416051012233,-4.6214293884739e-05,0.49416051012233,4.6214293884739e-05,-1.9902146743522e-53
600.2,433,0,600.2,1,6.3469975703071e-05,4.7317596266681e-05,1.2253152917187e-13,1.1863869536657e-08,298.78103668428,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-1.7154733437684e-53
600.4,433,0,600.4,1,6.3469951143133e-05,4.7315223651912e-05,1.2253152917187e-13,1.1863869536657e-08,298.87987205881,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-1.4407320131849e-53
600.6,433,0,600.6,1,6.3469926583195e-05,4.7312851037143e-05,1.2253152917187e-13,1.1863869536657e-08,298.97870743334,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-1.1659906826012e-53
600.8,433,0,600.8,1,6.3469902023257e-05,4.7310478422374e-05,1.2253152917187e-13,1.1863869536657e-08,299.07754280788,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-8.9124935201743e-54
601,433,0,601,1,6.3469877463318e-05,4.7308105807606e-05,1.2253152917187e-13,1.1863869536657e-08,299.17637818241,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-6.1650802143387e-54
601.2,433,0,601.2,1,6.346985290338e-05,4.7305733192837e-05,1.2253152917187e-13,1.1863869536657e-08,299.27521355694,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-3.4176669085014e-54
601.4,433,0,601.4,1,6.3469828343442e-05,4.7303360578068e-05,1.2253152917187e-13,1.1863869536657e-08,299.37404893147,-0.49417511311312,-4.6743981032993e-05,0.49417511311312,4.6743981032993e-05,-6.7025360266578e-55
